Name,Current Price,Change,Disclosure Date,Designation,Code
KISHP70KOSPI200- C,-,-,5/18/2023,5/19/2023,57HP70
MIRAEJ316KOSPI200- C,-,-,5/18/2023,5/19/2023,52J316
MIRAEJ317KOSPI200- C,-,-,5/18/2023,5/19/2023,52J317
MIRAEJ324KOSPI200- C,-,-,5/18/2023,5/19/2023,52J324
Synergy Innovation,"2,530",5,5/18/2023,5/19/2023,48870
CURO,913,33,5/17/2023,5/18/2023,15590
Dynamic Design,"7,280",0,5/17/2023,5/18/2023,145210
JYP Ent.,"136,000","1,000",5/17/2023,5/18/2023,35900
KBHN72KOSPI200- C,-,-,5/17/2023,5/18/2023,58HN72
KD,829,11,5/17/2023,5/18/2023,44180
MIRAEJ316KOSPI200- C,-,-,5/17/2023,5/18/2023,52J316
MIRAEJ317KOSPI200- C,-,-,5/17/2023,5/18/2023,52J317
MIRAEJ325KOSPI200- C,-,-,5/17/2023,5/18/2023,52J325
PROSTEMICS,"5,920",360,5/17/2023,5/18/2023,203690
SEOULEAGUER,870,16,5/17/2023,5/18/2023,43710
Synergy Innovation,"2,530",5,5/17/2023,5/18/2023,48870
WiPAM,"3,245",5,5/17/2023,5/18/2023,332570
CURO,913,33,5/16/2023,5/17/2023,15590
Korea No.10 SPAC,"3,040",0,5/16/2023,5/17/2023,409570
LEENO,"135,600","1,400",5/16/2023,5/17/2023,58470
MIRAEJ348KOSPI200- P,-,-,5/16/2023,5/17/2023,52J348
NEOOTO,"9,270",60,5/16/2023,5/17/2023,212560
ONE4U,"1,133",73,5/16/2023,5/17/2023,122830
SOLUX,"27,650","2,000",5/16/2023,5/17/2023,290690
SOLUX,"27,650","2,000",5/16/2023,5/17/2023,290690
COSMECCA KOREA,"18,500",670,5/15/2023,5/16/2023,241710
COSMECCA KOREA,"18,500",670,5/15/2023,5/16/2023,241710
CURO,913,33,5/15/2023,5/16/2023,15590
DNALINK,"3,500",175,5/15/2023,5/16/2023,127120
DYPNF,"21,550",800,5/15/2023,5/16/2023,104460
Dgenx,"1,720",100,5/15/2023,5/16/2023,113810
Englewood Lab,"8,720",170,5/15/2023,5/16/2023,950140
KBHN75KOSPI200- C,-,-,5/15/2023,5/16/2023,58HN75
KISHS75KOSPI200- P,-,-,5/15/2023,5/16/2023,57HS75
KISHS76KOSPI200- P,-,-,5/15/2023,5/16/2023,57HS76
MIRAEJ346KOSPI200- P,-,-,5/15/2023,5/16/2023,52J346
Suresoft,"9,270",180,5/15/2023,5/16/2023,298830
TONYMOLY,"5,250",50,5/15/2023,5/16/2023,214420
DSMBIO,"11,800",320,5/12/2023,5/15/2023,36480
DongwonInd,"44,300",0,5/12/2023,5/15/2023,6040
Englewood Lab,"8,720",170,5/12/2023,5/15/2023,950140
HyundaiElev,"42,850",200,5/12/2023,5/15/2023,17800
KISHS75KOSPI200- P,-,-,5/12/2023,5/15/2023,57HS75
KISHS76KOSPI200- P,-,-,5/12/2023,5/15/2023,57HS76
MIRAEJ342KOSPI200- P,-,-,5/12/2023,5/15/2023,52J342
MIRAEJ344KOSPI200- P,-,-,5/12/2023,5/15/2023,52J344
