Issue Name,Code,Date,Suspension Time Start,Suspension Time End,Trading Restart Time,Reason,Trading Halts Details,Trading Halts Notice,Trading Halts Notice URL
Confidence Inc.,7374,"May 12, 2023",16:30,16:45,16:46,An announcement was made related to tender offer,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"SBI Shinsei Bank,Limited",8303,"May 12, 2023",13:48,16:25,16:26,"An announcement was made regarding authenticity of media reports related to tender offer, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
ARTERIA Networks Corporation,4423,"May 11, 2023",15:00,15:25,15:26,"An announcement was made related to tender offer, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
United Super Markets Holdings Inc.,3222,"Apr. 25, 2023",15:06,whole day,-,Confirmation of authenticity of media reports related to merger is needed,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Inageya Co.,Ltd.",8182,"Apr. 25, 2023",15:06,whole day,-,Confirmation of authenticity of media reports related to merger is needed,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Kozosushi Co.,LTD.",9973,"Apr. 21, 2023",17:00,17:15,17:16,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"BROCCOLI Co.,Ltd.",2706,"Apr. 14, 2023",16:00,16:25,16:26,"An announcement was made related to tender offer, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"ARCLAND SERVICE HOLDINGS CO.,LTD.",3085,"Apr. 14, 2023",15:00,15:15,15:16,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
ARCLANDS CORPORATION,9842,"Apr. 14, 2023",15:00,15:15,15:16,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
JPX-Nikkei 400 Bull 2x Leveraged ETF,1467,"Apr. 10, 2023",12:00,12:25,12:26,"An announcement was made related to determination of accelerated redemption, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
